i,x,y,z,a1,a2,a3,g1,g2,g3,depth,width
1.0,0.0665,-6.198305163731432e-05,0.008967336124152736,-0.9666061143974959,0.00034107989179166796,-0.256266469273455,0.0003248157083452707,0.9999999416513697,0.00010579231152672433,0.0067745383231530495,0.02552372113349942
0.0,-0.051824023053887294,0.0008603340251991505,-0.03500000000000003,-0.12133742557422797,0.00012649458566785335,0.992611310208653,0.001374307238805329,-0.9999990119992204,0.00029543222002389395,0.00852331766486507,0.0254985759414642
1.0,0.02606220577365903,0.000158663513109784,0.03500000000000003,-0.5492964794657514,-2.561569062947314e-05,-0.835627534844543,-1.875075917019268e-05,-0.9999999989005568,4.298017370560762e-05,0.0031270299402965536,0.025520313956051227
1.0,0.038429426133870535,-0.0005686683122608353,-0.03500000000000003,0.04579584074907811,4.8463523710613274e-05,0.9989508189202171,9.112352555677387e-05,-0.9999999948653685,4.4336962499067444e-05,0.019588455263916484,0.02552289162058234
0.0,-0.0024030243831645176,0.0006008602489397763,-0.03500000000000003,0.013356043685319577,2.0110017842219126e-05,0.9999108038683568,-7.792757583446179e-05,0.9999999967817969,-1.9070914722184992e-05,0.034381989512774096,0.025527481732822686
1.0,-0.0108381131312911,-0.0005366764464635751,-0.03500000000000003,-0.04570553557330028,0.0003984334240356964,0.9989548764928096,8.452691377786579e-05,-0.9999999153368528,0.00040271762782724654,0.026993722794061186,0.02553212694279887
0.0,-0.04674271518697992,0.0011884836037012849,-0.03500000000000003,-0.5731058532757416,-8.894705356707805e-05,0.819481343917911,0.0007257315777261245,0.9999995468779777,0.0006160823942023305,0.008645170578376963,0.025519807969016116
1.0,0.0665,-4.641516870655019e-05,0.008689576901660445,-0.9696054476413629,2.0831814838612373e-05,-0.2446738144351112,-2.1646089033358505e-05,-0.9999999997655192,6.390181699976078e-07,0.024473408358693112,0.025529256082978735
0.0,0.009393217648256718,-0.0003061343008268336,-0.03500000000000003,-0.024079679658835475,-1.3009387688666523e-05,0.9997100423914346,-2.4231596353702923e-05,-0.9999999996139783,-1.3596819262661485e-05,0.02471474700754018,0.025523944566358377
1.0,0.0665,2.154934027578671e-05,-0.00747141711102145,-0.9775236249256594,1.33415113966808e-06,0.2108259061652982,2.511816214683426e-05,-0.9999999921455935,0.00012279206342950905,0.021179787874946898,0.02552850864696061
1.0,0.06649999999999989,-0.0005679053242317548,0.026162265371317828,-0.9608335026291163,0.0035320230399318213,-0.2771037802678081,-0.0037105977414568694,-0.9999931085017525,0.00012005583517593339,0.003908758236982044,0.025516225850436655
1.0,-0.0432685902940573,0.00023562400993660168,-0.03500000000000003,-0.024830551324190868,2.005567039071893e-05,0.9996916741269315,4.3988164306453954e-05,-0.9999999988087656,2.1154443200465332e-05,0.012426359931792752,0.0255199208099851
1.0,0.005831018818086453,-0.00029473826284794557,-0.03500000000000014,-0.6614429402743399,-0.0006390052612530465,0.749995218940436,0.00038192576680502776,-0.9999997943607801,-0.0005151806543944647,0.0055173378509387975,0.025517801271201512
0.0,-0.0665,-0.0004762124007722773,0.030009324955612926,0.559324186782502,9.606230608569949e-07,-0.8289490057169805,-0.00016337460670946173,-0.9999999804500511,-0.00011139405614087232,0.01807762827107585,0.025516774158014642
1.0,-0.0665,-0.00014472638319208892,-0.013352540838765803,0.6937154735211433,0.0004796779289975517,0.7202489928534579,0.0002698692244495942,-0.9999998811423066,0.00040606153990945003,0.009108725557487691,0.025516847893874744
1.0,-0.03675998522689463,-2.507415889695607e-05,0.03500000000000003,-0.038959534052924766,0.0008754485669052655,-0.9992404056563096,-5.552033463460483e-05,-0.9999996165652181,-0.0008739490316010864,0.003973348390039583,0.025514186902890527
0.0,0.019054385560264092,0.00012026606295550914,-0.03500000000000014,-0.15779145179134224,0.0005738237823422628,0.9874722925064011,-0.000290543242808867,0.9999997608950805,-0.0006275304025557074,0.005258078919100175,0.025518947011964797
0.0,0.00537132158634274,6.352167922960393e-05,-0.03500000000000003,-0.019612066552351592,-6.013509183361576e-05,0.9998076631179205,8.530955825077806e-05,0.9999999944502787,6.182007851500022e-05,0.020321273756826894,0.02552672057612622
1.0,-0.026944032310772803,-0.00010562298044997776,-0.03500000000000003,0.44907689188006383,-1.8161526421860351e-06,0.8934931142297868,-5.8763478169694276e-05,-0.999999997895237,2.750235799559295e-05,0.0044259251498534645,0.02552685300510637
0.0,0.0450539131480564,-0.00029786127256039533,0.03500000000000003,-0.6657822736842061,-0.00011034950965259311,-0.746146066042618,-6.512364307205456e-05,-0.9999999766610179,0.0002060021237496944,0.01129385364742269,0.025516307510029188
1.0,0.0665,-0.00041051201510523664,0.016760676350950465,-0.9502298751672534,0.00019469011032041098,-0.3115495890470524,0.00017146883273152466,0.9999999801046684,0.00010192694852388132,0.01866439646411742,0.025529090597170467
0.0,0.04652595159822838,-0.00018056131164881822,0.03500000000000003,0.049627531823582496,8.74295848498441e-06,-0.9987677948395514,0.00010182758410825483,0.9999999947201662,1.3813431090747505e-05,0.020126596840923515,0.025522468607435754
1.0,0.05097541526411625,0.0003607702243533698,-0.03500000000000003,-0.40006855186241164,-0.00011331089225462664,0.9164852104487858,0.0010527910777312214,0.9999992757507586,0.0005832057145899407,0.017215057173013287,0.025503540908802688
1.0,-0.031782422449113716,-0.0006070583913764177,0.03500000000000003,0.007726059638554711,6.41070972422424e-05,-0.9999701515009043,0.0005302464859180328,0.9999998570933035,6.820583989619616e-05,0.019412424385194867,0.025518282436799176
0.0,-0.019585978707108834,0.0003610351004802091,-0.03500000000000003,-0.12369147940821368,-0.00022560475804508261,0.9923206976700127,-0.00011017240430567764,0.9999999711147383,0.00021361779951544672,0.011255096784495119,0.025518929472904937
0.0,-0.0665,-0.00044104971167014697,0.012356529110923942,0.9634628678598471,0.0005848944957812362,0.26784129658009814,0.0006086533982210304,-0.9999998147543887,-5.677097482698664e-06,0.005912677220773969,0.02551458024200274
1.0,0.006273721650171498,0.00017899451625152696,0.03500000000000003,0.0033116514471703993,-0.00013584548787699195,-0.999994507240263,-8.176362710159446e-06,0.9999999907357957,-0.00013587331020134086,0.02654411485640446,0.025525037833731914
0.0,0.016031145882005698,0.00028327968003966965,-0.03500000000000003,0.03965255058167286,-0.00019715768094631536,0.9992135088964804,6.188102874018458e-05,-0.9999999781316354,-0.0001997685334312723,0.02233833346717727,0.02552385193290163
1.0,0.0055982143138475216,-0.00017304635619249368,-0.03500000000000003,-0.06583232060297224,-0.00023849347740533032,0.9978306713490463,1.2218404241887213e-05,0.9999999711689989,0.00023981808066804314,0.029673304303566034,0.025523438071422475
1.0,0.027483864500885913,-0.00018428781681797428,0.03500000000000003,-0.455792895331581,-8.346307434684808e-05,-0.8900858551843016,-0.0004194611121713463,0.9999999047024284,0.00012102689619784802,0.011242001882482621,0.025517645369862976
0.0,0.054871505668485976,-0.00017666415439161542,0.03499999999999992,0.34534244910899115,0.00036934487140408926,-0.9384766680252471,-0.0003493035488595106,-0.9999998027018094,-0.000522095176441231,0.000318522450174345,0.025512068390479523
1.0,0.042689342109200154,0.0008590798049242332,0.03500000000000003,0.08829968601186276,-0.0005088245534539883,-0.9960938241690791,0.000512645478599368,0.9999997603099433,-0.00046537583654307615,0.018100920167680102,0.025524053744786612
1.0,0.0018290763154284566,-4.625475283198347e-05,0.03500000000000014,-0.018913572340276522,3.414896434922999e-05,-0.9998211218088852,7.148058672584402e-05,0.9999999969072485,3.280287871525901e-05,0.032068197916536915,0.025522663177694575
1.0,-0.038241231177954874,0.00010014134377184754,0.03500000000000003,0.010055939280208627,0.00024144605363558887,-0.9999494086147541,-0.0001355045563269887,0.999999961996317,0.00024009556563639068,0.0041189881321840385,0.025515523036807618
0.0,-0.05617129551762445,0.00016072361203697404,-0.034999999999999976,0.8955024804137579,9.361147799532799e-05,0.4450565119282031,8.624675157785808e-05,-0.9999999956036938,3.679824287308526e-05,0.017950024458746775,0.02553831048117063
0.0,0.0665,-0.0005013144198656799,0.01780549169711676,-0.9583682336861823,-4.020529941736433e-05,0.28553515903433146,7.125567383648389e-05,-0.9999999926244392,9.835522619680402e-05,0.015138917658976075,0.025522086131064645
1.0,0.025157085185067474,-0.0005836574364476228,0.03500000000000003,0.05344151437912013,-3.61648303278461e-05,-0.9985709805682176,-0.0001988294085464787,0.9999999791356188,-4.685753459658182e-05,0.03214673518390542,0.02552002125958535
0.0,-0.06650000000000011,7.897775974856607e-05,0.03491497848962499,0.9556726383543586,-0.0008261482856850803,-0.29443017131372584,-0.0013354827012432118,-0.9999979395594261,-0.001528843634161513,0.0005019326644181671,0.025502780083452515
0.0,0.0665,0.0004417709860049532,-0.012095106544722012,-0.9558542388305762,-5.49079857724925e-05,-0.29384123450382754,-7.743779800554631e-05,0.9999999948866312,6.503941494069216e-05,0.018291310028652006,0.02551926137193162
1.0,-0.04069658501935197,0.0004141047022380933,-0.03500000000000003,-0.4581508199931672,-9.232829517487097e-05,0.8888744667359247,-4.086237498195571e-05,-0.9999999913610522,-0.00012493263012705545,0.0038243333829950945,0.025524386002092794
1.0,0.06052580213542802,-0.00038528583127247996,-0.03500000000000003,-0.5887400883695136,-6.287113495252888e-05,0.8083224012693684,6.067800186608668e-05,-0.9999999975951116,-3.358506776253339e-05,0.0162633448624146,0.025520822972426555
